#Theta,#count,#sig,#Ni Filter,#sigNi,#time wait of 1.5 times the time constant,#sigma is half the range of how the counts change,,,#2 times for 10 seconds ( more slow but significant fluctuations
10,14,1,13,1,,,,,
12,15,1,11,1,,,,,
13,11,1,9,1,,,,,
13.1,12,1,11,1,,,,,
13.2,12,1,10,1,,,,,
13.3,13,1,10,1,,,,,
13.4,13,1,10,1,,,,,
13.5,13,1,11,1,,,,,
13.6,15,1,11,1,,,,,
13.7,21,1,11,1,,,,,
13.8,33,1,11,1,,,,,
13.9,54,1,12,1,,,,,
14,85,1,14,1,,,,,
14.1,120,1,16,1,,,,,
14.2,145,1,17,1,,,,,
14.3,155,1,17,1,,,,,
14.4,141,1,16,1,,,,,
14.5,113,1,15,1,,,,,
14.6,81,1,13,1,,,,,
14.7,47,1,11,1,,,,,
14.8,29,1,11,1,,,,,
14.9,19,1,10,1,,,,,
15,15,1,11,1,,,,,
15.1,18,1,13,1,,,,,
15.2,26,1,19,1,,,,,
15.3,52,1,35,1,,,,,
15.4,106,1,69,1,,,,,
15.5,195,1,125,2,,,,,
15.6,318,2,201,2,,,,,
15.7,451,5,283,2,,,,,
15.8,533,5,336,3,,,,,
15.9,550,5,346,3,,,,,
16,481,3,300,3,,,,,
16.1,355,2,224,2,,,,,
16.2,231,3,147,2,,,,,
16.3,129,2,84,1,,,,,
16.4,66,1,44,1,,,,,
16.5,32,1,23,1,,,,,
16.6,17,1,13,1,,,,,
16.7,13,1,10,1,,,,,
16.8,11,1,10,1,,,,,
16.9,11,1,9,1,,,,,
18,10,1,9,1,,,,,
20,10,1,8,1,,,,,
22,9,1,8,1,,,,,
24,10,1,8,1,,,,,
26,9,1,8,1,,,,,
28,9,1,8,1,,,,,
28.9,10,1,8,1,,,,,
29,10,1,7,1,,,,,
29.1,11,1,8,1,,,,,
29.2,13,1,8,1,,,,,
29.3,16,1,8,1,,,,,
29.4,19,1,8,1,,,,,
29.5,22,1,8,1,,,,,
29.6,23,1,8,1,,,,,
29.7,21,1,8,1,,,,,
29.8,18,1,7,1,,,,,
29.9,15,1,8,1,,,,,
30,13,1,8,1,,,,,
30.1,10,1,8,1,,,,,
30.2,9,1,7,1,,,,,
30.3,9,1,7,1,,,,,
30.4,9,1,7,1,,,,,
30.5,8,1,7,1,,,,,
30.6,9,1,7,1,,,,,
30.7,9,1,7,1,,,,,
30.8,9,1,8,1,,,,,
30.9,9,1,8,1,,,,,
31,9,1,7,1,,,,,
31.1,8,1,7,1,,,,,
31.2,8,1,8,1,,,,,
31.3,9,1,7,1,,,,,
32,8,1,7,1,,,,,
32.1,9,1,7,1,,,,,
32.2,9,1,7,1,,,,,
32.3,9,1,8,1,,,,,
32.4,11,1,8,1,,,,,
32.5,15,1,9,1,,,,,
32.6,26,1,18,1,,,,,
32.7,46,1,31,1,,,,,
32.8,80,1,52,1,,,,,
32.9,124,2,80,1,,,,,
33,164,2,105,1,,,,,
33.1,190,2,122,2,,,,,
33.2,190,2,121,2,,,,,
33.3,161,2,104,1,,,,,
33.4,119,2,78,1,,,,,
33.5,75,1,50,1,,,,,
33.6,44,1,29,1,,,,,
33.7,24,1,16,1,,,,,
33.8,14,1,12,1,,,,,
33.9,10,1,8,1,,,,,
34,9,1,7,1,,,,,
36,11,1,7,1,,,,,
38,9,1,7,1,,,,,
40,8,1,7,1,,,,,
42,8,1,7,1,,,,,
44,8,1,7,1,,,,,
46,8,1,7,1,,,,,
48,8,1,7,1,,,,,
50,9,1,7,1,,,,,
52,8,1,7,1,,,,,
54,8,1,7,1,,,,,
56,8,1,7,1,,,,,
58,8,1,7,1,,,,,
60,8,1,6,1,,,,,
62,7,1,7,1,,,,,
64,8,1,7,1,,,,,
66,7,1,6,1,,,,,
68,8,1,7,1,,,,,
70,8,1,6,1,,,,,
72,8,1,6,1,,,,,
74,8,1,7,1,,,,,
75,8,1,7,1,,,,,
